animal,session,data,group,params
mouse7,TFC_long,TFC_120sec/mouse7/mouse7_20240203-100046_TFClong,control,
mouse1,TFC,TFC_20sec/mouse1/mouse1_20240112-141201_TFCday,control,
mouse2,TFC,TFC_20sec/mouse2/mouse2_20240114-105916_TFC,control,mouse2.yaml
mouse21,TFC,TFC_20sec/mouse21/mouse21_20240328-093022_TFC,control,mouse21.yaml
mouse22,TFC,TFC_20sec/mouse22/mouse22_20240329-084039_TFC,control,mouse22.yaml
mouse3,TFC,TFC_20sec/mouse3/mouse3_20240122-094219_TFC,control,mouse3.yaml
mouse4,TFC,TFC_20sec/mouse4/mouse4_20240125-110039_TFC,control,mouse4.yaml
mouse6,TFC,TFC_20sec/mouse6/mouse6_20240131-092316_TFC,control,
mouse14,TFC,THmice/mouse14/mouse14_20240304-100540_TFC,LClesion,mouse14.yaml
mouse15,TFC,THmice/mouse15/mouse15_20240313-100119_TFC,LClesion,mouse15.yaml
mouse16,TFC,THmice/mouse16/mouse16_20240305-090531_TFC,LClesion,mouse16.yaml
mouse27,TFC,THmice/mouse27/mouse27_20240409-094110_TFC,LClesion,
mouse26,TFC,THmice/mouse26/mouse26_20240410-093649_TFC_TH,LClesion,
mouse24,TFC,THmice/mouse24/mouse24_20240402-112630_THmice,LClesion,mouse24.yaml
mouse28,TFC,THmice/mouse28/mouse28_20240403-113310_THmice,LClesion,mouse28.yaml
mouse12,TFC,THmice/mouse12/mouse12_20240219-094646_TFC_TH-Cre,LClesion,
mouse13,TFC,THmice/mouse13/mouse13_20240221-094412,LClesion,